Ligand,SMILES,MMGBSA_5,MMGBSA_7,Energy,CNNaffinity,log Kp (cm/s),#H-bond donors,10nM score no_adme,MMPBSA,MMGBSA_2,MMGBSA_8,CNNscore,CNN_VS,CNNaffinity_variance,XLOGP3,Veber #violations,MLOGP,Silicos-IT LogSw,PAINS #alerts,Ali Solubility (mg/ml),Brenk #alerts,Silicos-IT Solubility (mg/ml),#Heavy atoms,Ali Log S,#Aromatic heavy atoms,Synthetic Accessibility,Silicos-IT Solubility (mol/l),#H-bond acceptors,Fraction Csp3,Bioavailability Score,MW,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Silicos-IT Log P,Ali Solubility (mol/l),Egan #violations,Muegge #violations,TPSA,MR,Leadlikeness #violations,Consensus Log P,ESOL Log S,#Rotatable bonds,iLOGP,WLOGP,Ghose #violations,Lipinski #violations
Z31275803,COc1ccc(NS(=O)(=O)c2cccc(N/C=C3\C(=O)N(c4ccc(C)c(C)c4)C(=O)c4ccccc43)c2)cc1,-53.8764,-38.0728,-12.81568,7.9438734055,-5.81,2.0,0.9991379095966165,-26.0282,-49.0779,-29.1476,0.9642668962,7.6600141525,0.1832926273,5.44,0.0,3.34,-10.61,0.0,1.48e-05,2.0,1.36e-08,40.0,-7.57,24.0,4.0,2.45e-11,5.0,0.1,0.55,553.63,0.000115,2.08e-07,4.29,2.67e-08,1.0,1.0,113.19,159.03,2.0,4.55,-6.68,7.0,3.62,6.07,3.0,1.0
Z8174607609,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(S(=O)(=O)c2nnc[nH]2)CC1,-61.2355,-48.8741,-13.89777,7.6350007057,-8.85,2.0,0.9967154776753913,-35.4157,-54.2213,-44.8642,0.9053737521,6.9125294685,0.0867592171,0.68,1.0,1.63,-6.9,0.0,0.165,0.0,6.28e-05,35.0,-3.48,21.0,3.53,1.26e-07,9.0,0.23,0.55,497.5,0.198,0.000397,2.02,0.000333,1.0,1.0,153.39,130.45,1.0,1.51,-3.4,6.0,1.57,1.66,2.0,1.0
Z4898404656,O=C(C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CC[C@@H]2CS(=O)(=O)C[C@@H]2C1,-51.4468,-43.7442,-13.68724,8.124127388,-7.77,1.0,0.9967090386322125,-17.7215,-47.1671,-35.1492,0.8034715056,6.527504921,0.0550400391,2.69,0.0,2.32,-8.24,0.0,0.0101,0.0,3.17e-06,38.0,-4.74,16.0,4.74,5.71e-09,6.0,0.39,0.55,554.06,0.00721,1.3e-05,3.81,1.83e-05,0.0,0.0,114.05,149.63,1.0,3.18,-4.89,6.0,2.74,4.34,2.0,1.0
Z4914836777,C[C@H]1c2nncn2CCN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-51.5016,-43.0611,-13.35335,8.1721401215,-8.01,1.0,0.9965010915182863,-25.0785,-48.0558,-35.7951,0.9352483153,7.6429800987,0.1335159093,2.03,0.0,2.13,-8.03,0.0,0.081,0.0,4.84e-06,37.0,-3.8,21.0,4.49,9.35e-09,6.0,0.3,0.55,516.98,0.0232,4.49e-05,3.13,0.000157,0.0,0.0,102.24,142.88,1.0,2.72,-4.35,6.0,3.05,3.24,2.0,1.0
Z4999419473,O=C(C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCC[C@H]1c1nnc[nH]1,-48.1256,-39.9627,-12.85407,8.2887210846,-7.52,2.0,0.9954816340885012,-24.46,-45.7197,-34.312,0.9181563854,7.6103420258,0.2385719717,2.85,0.0,2.32,-9.01,0.0,0.00694,0.0,5.21e-07,38.0,-4.88,21.0,4.5,9.82e-10,6.0,0.32,0.55,531.01,0.00709,1.33e-05,4.36,1.31e-05,0.0,0.0,113.1,147.59,1.0,3.22,-4.87,7.0,2.66,3.91,2.0,1.0
Z4878380185,NS(=O)(=O)c1[nH]ncc1C(=O)NC[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-47.3224,-36.4856,-12.62819,8.0016670227,-8.45,4.0,0.9953645839903394,-22.0439,-43.037,-30.1149,0.8142279983,6.5151815414,0.0914374441,1.62,1.0,0.39,-8.49,0.0,0.00592,0.0,1.74e-06,37.0,-4.96,21.0,4.03,3.21e-09,8.0,0.17,0.17,540.98,0.0423,7.82e-05,2.18,1.09e-05,1.0,1.0,177.54,135.08,2.0,1.8,-4.11,8.0,1.57,3.24,2.0,2.0
Z33263240,Cc1ccc(NC(=O)c2nn(-c3ccccc3)c(=O)c3ccccc23)cc1S(=O)(=O)Nc1ccc(Br)cc1,-47.5745,-34.0371,-12.62607,7.6270051003,-6.15,2.0,0.9952585051411268,-20.0326,-43.918,-26.0304,0.8186507225,6.2438530922,0.2367238998,5.28,0.0,4.31,-10.89,0.0,1.78e-05,0.0,7.61e-09,38.0,-7.52,28.0,3.59,1.29e-11,5.0,0.04,0.17,589.46,7.35e-05,1.25e-07,3.98,3.02e-08,1.0,1.0,118.54,151.33,2.0,4.46,-6.9,7.0,2.55,6.21,3.0,2.0
Z4898404655,CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-50.8568,-41.0301,-13.05587,8.0041971207,-7.74,1.0,0.995125660897676,-26.6793,-46.7052,-34.4973,0.8949730992,7.163541317,0.1040584072,2.43,0.0,1.99,-7.47,0.0,0.0517,0.0,1.74e-05,37.0,-4.0,16.0,5.2,3.35e-08,5.0,0.36,0.55,518.99,0.0186,3.58e-05,3.62,9.97e-05,0.0,0.0,91.84,147.68,1.0,2.83,-4.45,7.0,3.31,2.82,2.0,1.0
Z4914836784,NC(=O)[C@H]1Cc2[nH]cnc2CN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-45.5194,-40.231,-13.69678,8.0986261368,-8.48,3.0,0.994013973185791,-13.5895,-42.5379,-33.4352,0.9494381547,7.6891446114,0.0822930485,1.61,1.0,0.67,-8.4,0.0,0.032,0.0,2.19e-06,39.0,-4.23,21.0,4.51,4.02e-09,6.0,0.25,0.55,544.99,0.0369,6.77e-05,3.45,5.87e-05,1.0,0.0,143.3,148.06,1.0,1.96,-4.17,7.0,1.71,2.38,2.0,1.0
Z8174632343,O=C(O)C[C@@H]1C[C@@H]1C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-65.65,-55.8634,-13.92213,7.8176908493,-8.38,2.0,0.9922508247471515,-46.9199,-62.1961,-55.0338,0.9792735577,7.6556577682,0.0406191051,1.3,0.0,2.67,-6.09,0.0,0.157,0.0,0.000398,36.0,-3.5,16.0,4.11,8.07e-07,7.0,0.35,0.56,492.5,0.151,0.000307,3.59,0.000318,0.0,0.0,123.67,136.6,2.0,2.54,-3.51,8.0,3.41,1.71,2.0,0.0
Z4408342225,CS(=O)(=O)N1CCC(c2cn(Cc3ncccc3C(=O)N3CCc4c(C(=O)O)ccc(F)c4C3)nn2)CC1,-39.9001,-30.4741,-12.94718,7.6071815491,-9.09,1.0,0.9907020081029044,-2.3541,-36.4906,-27.7646,0.8184911609,6.2264108658,0.0897921696,0.73,1.0,1.35,-5.45,0.0,0.218,0.0,0.00193,38.0,-3.4,17.0,3.93,3.55e-06,10.0,0.4,0.56,542.58,0.159,0.000293,1.31,0.000403,1.0,0.0,146.97,142.3,1.0,1.67,-3.53,7.0,2.5,2.48,2.0,2.0
Z84963072,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1cccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)c1,-50.1755,-39.4646,-12.71012,7.7957663536,-7.73,2.0,0.9898134103784499,-26.3678,-45.3926,-37.0632,0.9586933255,7.4737491608,0.0639912859,2.22,0.0,1.85,-7.91,0.0,0.00826,0.0,6.1e-06,35.0,-4.78,22.0,3.39,1.24e-08,7.0,0.12,0.55,492.5,0.025,5.07e-05,2.45,1.68e-05,1.0,0.0,139.07,127.92,1.0,2.57,-4.3,7.0,2.86,3.46,1.0,0.0
Z4999891329,O=C1CC[C@H](N2Cc3c(C#CC4CCN(c5ncnc6c5CCC6)CC4)cccc3C2=O)C(=O)N1,-39.379,-29.8667,-12.61364,7.7078905106,-7.57,1.0,0.9894332379132034,-15.6311,-38.3332,-25.2259,0.8349519372,6.4357180595,0.1205259338,2.24,0.0,2.65,-6.19,0.0,0.0617,2.0,0.0003,35.0,-3.88,12.0,4.21,6.4e-07,5.0,0.44,0.55,469.53,0.0244,5.2e-05,3.39,0.000131,0.0,0.0,95.5,140.46,1.0,2.47,-4.28,2.0,3.27,0.78,1.0,0.0
Z4984330290,CNS(=O)(=O)c1cc(CNC[C@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F,-45.1797,-38.0481,-12.35793,8.3226690292,-6.83,3.0,0.9893746156553839,-20.2789,-40.8187,-26.9332,0.9028173089,7.5138497353,0.0524190366,4.14,0.0,2.41,-11.15,0.0,0.000272,0.0,4e-09,39.0,-6.32,22.0,4.18,7.03e-12,8.0,0.21,0.55,569.05,0.000902,1.59e-06,4.59,4.77e-07,0.0,0.0,117.8,147.38,3.0,4.01,-5.8,9.0,3.38,5.54,2.0,1.0
Z17660193,O=C(OCc1cc(=O)oc2cc3c(cc12)CCC3)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,-47.9985,-37.2175,-12.90093,7.6068100929,-7.26,0.0,0.989048737352816,-19.2567,-42.9018,-31.3898,0.8463218212,6.4378094673,0.0998170599,2.88,0.0,3.69,-7.61,0.0,0.00556,1.0,1.22e-05,35.0,-4.95,16.0,4.64,2.48e-08,7.0,0.35,0.55,492.54,0.00946,1.92e-05,4.51,1.13e-05,0.0,0.0,114.63,137.38,1.0,3.5,-4.72,5.0,3.06,3.35,2.0,0.0
Z5094147408,CNS(=O)(=O)c1cc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F,-53.6076,-45.9427,-12.42231,8.3919343948,-6.83,3.0,0.9875880494053386,-25.7943,-47.4062,-30.5135,0.9379752874,7.8714270592,0.0846896917,4.14,0.0,2.41,-11.15,0.0,0.000272,0.0,4e-09,39.0,-6.32,22.0,4.18,7.03e-12,8.0,0.21,0.55,569.05,0.000902,1.59e-06,4.59,4.77e-07,0.0,0.0,117.8,147.38,3.0,3.97,-5.8,9.0,3.18,5.54,2.0,1.0
Z4916842529,COc1cc(F)cc(S(=O)(=O)Nc2ccc3c(c2)CCN3C(=O)CCn2c(=O)[nH]c(=O)c3ccccc32)c1,-48.2962,-38.0334,-12.77802,7.6876349449,-7.99,2.0,0.9868110776274752,-25.8248,-43.8064,-32.7574,0.8063902855,6.1992340088,0.1061949953,2.25,0.0,2.44,-8.16,0.0,0.00846,0.0,3.75e-06,38.0,-4.8,22.0,3.63,6.97e-09,7.0,0.19,0.55,538.55,0.0172,3.18e-05,3.03,1.57e-05,1.0,0.0,138.95,142.98,2.0,2.84,-4.5,8.0,2.93,3.55,2.0,1.0
Z4921664134,Cc1n[nH]c2ncnc(N3C[C@@]45CCCC[C@@]4(CN(C(=O)c4cn[nH]c(=O)c4)C5)C3)c12,-45.2056,-34.1299,-12.13991,7.7871994972,-8.08,2.0,0.9856748298668605,-23.9026,-39.6822,-31.994,0.9597788453,7.4739894867,0.1153067201,1.11,0.0,2.01,-5.5,0.0,0.21,0.0,0.00131,31.0,-3.3,15.0,4.72,3.13e-06,6.0,0.52,0.55,420.47,0.208,0.000494,2.15,0.000499,0.0,0.0,123.76,120.33,1.0,1.53,-3.31,3.0,1.87,0.51,0.0,0.0
Z4916836427,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)CCN3C(=O)CCn2c(=O)[nH]c(=O)c3ccccc32)c1,-52.6244,-40.8187,-12.78697,7.5440979004,-7.96,2.0,0.9850538412486466,-25.6911,-46.4385,-37.7178,0.8685860634,6.5526981354,0.2107452154,2.14,0.0,2.07,-7.9,0.0,0.0106,0.0,6.55e-06,37.0,-4.69,22.0,3.58,1.26e-08,6.0,0.19,0.55,520.56,0.0245,4.7e-05,2.6,2.04e-05,1.0,0.0,138.95,143.03,2.0,2.53,-4.33,8.0,2.86,2.99,2.0,1.0
Z803620030,CC(C)N(Cc1nc2ccccc2c(=O)[nH]1)C(=O)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,-48.3839,-42.1378,-13.19619,7.9850854874,-6.9,1.0,0.9846126019824097,-16.8039,-45.7011,-37.8487,0.9687283039,7.7353782654,0.0715743601,3.38,0.0,3.57,-8.99,0.0,0.00661,0.0,5.06e-07,37.0,-4.87,22.0,4.06,1.03e-09,4.0,0.27,0.55,492.57,0.00422,8.56e-06,5.17,1.34e-05,0.0,0.0,86.37,147.27,1.0,3.9,-5.07,6.0,3.62,3.75,2.0,0.0
Z30083847,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1ccc2c(c1)S(=O)(=O)N=C1CCCCCN12,-53.9638,-42.8813,-12.88224,7.6018843651,-8.22,1.0,0.9836122437229758,-39.7248,-49.4516,-40.1305,0.9569534659,7.2746496201,0.0414356552,1.3,0.0,3.23,-6.64,0.0,0.145,0.0,0.000106,33.0,-3.51,16.0,4.0,2.27e-07,6.0,0.3,0.55,465.52,0.107,0.000229,2.75,0.00031,0.0,0.0,124.18,132.19,1.0,2.48,-3.64,4.0,2.26,2.84,1.0,0.0
Z3396340357,Cc1ccc(-n2nnc(C(=O)NCC[C@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)c2C)cc1,-49.924,-39.0207,-12.54033,7.6876869202,-6.48,2.0,0.983447950279149,-19.2129,-45.5675,-31.6556,0.9364578724,7.1991949081,0.1504251212,3.86,0.0,3.01,-8.44,0.0,0.000453,0.0,1.73e-06,36.0,-6.02,26.0,4.14,3.61e-09,6.0,0.23,0.55,479.54,0.00231,4.82e-06,2.89,9.45e-07,0.0,0.0,117.51,138.9,2.0,3.23,-5.32,7.0,3.16,3.23,1.0,0.0
Z5129920794,O=C1C(=O)N(Cc2cn(-c3ccccc3CNC(=O)[C@@H]3CCCN3C(=O)c3ccc(Cl)c(Cl)c3)nn2)c2ccccc21,-57.732,-52.8782,-13.18858,8.3937511444,-7.19,1.0,0.9826069726391262,-30.0723,-54.8257,-41.1735,0.8611406684,7.2282004356,0.2439197749,3.93,0.0,2.89,-9.15,0.0,0.000483,1.0,4.25e-07,42.0,-6.1,23.0,4.29,7.05e-10,6.0,0.2,0.55,603.46,0.000817,1.35e-06,3.94,8e-07,0.0,1.0,117.5,162.9,3.0,3.47,-5.87,9.0,3.42,3.16,2.0,1.0
Z8174614600,N[C@H](C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1)c1ccccc1,-38.155,-32.4747,-13.67722,7.5033836365,-7.76,2.0,0.9825972908818985,-4.7796,-35.776,-28.5813,0.8281480074,6.2139120102,0.0626999289,2.23,0.0,2.9,-8.14,0.0,0.0297,0.0,3.59e-06,37.0,-4.23,22.0,4.0,7.18e-09,6.0,0.21,0.55,499.54,0.0239,4.79e-05,4.12,5.95e-05,0.0,0.0,112.39,144.91,1.0,2.76,-4.32,7.0,2.58,1.97,2.0,0.0
Z8213734139,Cc1nc2c(NC(=O)c3cc(=O)oc4ccc(O)cc34)cccc2c(=O)n1[C@H]1CCC(=O)NC1=O,-41.6349,-36.3768,-13.9682,7.5031557083,-8.99,3.0,0.9823151062050614,-16.1685,-41.1992,-30.8249,0.9121081829,6.8436899185,0.1604476273,0.29,1.0,1.33,-6.79,0.0,0.283,2.0,7.68e-05,35.0,-3.22,20.0,3.93,1.62e-07,8.0,0.17,0.55,474.42,0.357,0.000753,2.2,0.000596,1.0,1.0,160.6,128.74,1.0,1.41,-3.12,4.0,2.04,1.18,0.0,1.0
Z31284541,Cc1ccc(N/C=C2\C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)c3ccccc32)cc1S(=O)(=O)N1CCOCC1,-55.1861,-45.4433,-12.9583,7.7311844826,-7.52,1.0,0.9808810313880036,-25.6344,-47.6748,-43.3302,0.8121577501,6.2789416313,0.1351975203,3.11,0.0,2.02,-7.86,0.0,0.00246,2.0,7.73e-06,40.0,-5.36,18.0,4.13,1.38e-08,8.0,0.24,0.55,561.61,0.0034,6.05e-06,3.01,4.38e-06,0.0,0.0,122.86,154.07,1.0,3.01,-5.22,6.0,3.56,3.36,2.0,1.0
Z4921678420,Cc1[nH]nc2ncc(C(=O)NCC[C@H]3c4ccccc4CCN3C(=O)[C@H]3CCC(=O)C3)cc12,-44.0343,-32.2979,-12.19962,7.5098090172,-7.82,2.0,0.9792056568934481,-20.5995,-41.218,-29.8244,0.8448349833,6.3445491791,0.2613483071,1.69,0.0,2.04,-7.06,0.0,0.119,0.0,3.85e-05,33.0,-3.57,15.0,3.94,8.65e-08,5.0,0.4,0.55,445.51,0.128,0.000288,3.79,0.000267,0.0,0.0,108.05,127.55,1.0,2.26,-3.54,7.0,1.62,2.18,0.0,0.0
Z4921677181,O=C(NC[C@@H]1CC2(CCOCC2)CN1C(=O)c1ccc2[nH]nnc2c1)c1cncc2[nH]ccc12,-42.4961,-34.7736,-12.22855,8.0051059723,-8.22,3.0,0.9788215241481963,-15.9184,-38.9015,-28.4792,0.9605526328,7.6893258095,0.1326756328,1.24,0.0,1.15,-6.84,0.0,0.131,0.0,6.61e-05,34.0,-3.54,18.0,4.03,1.44e-07,6.0,0.38,0.55,459.5,0.157,0.000342,2.7,0.000285,0.0,0.0,128.89,128.12,1.0,1.71,-3.47,6.0,1.57,1.89,0.0,0.0
Z45239769,Cc1ccc(C(C)(C)C)cc1S(=O)(=O)Nc1ccc(C(=O)O[C@H](C)c2nc3sc(C)c(C)c3c(=O)[nH]2)cc1,-66.0111,-57.079,-12.3019,8.4266119003,-5.41,2.0,0.9783440883015024,-39.4066,-60.187,-56.3985,0.9485065341,7.9926962852,0.3219022155,6.01,1.0,3.44,-9.77,0.0,5.06e-07,0.0,9.4e-08,38.0,-9.04,21.0,4.79,1.7e-10,6.0,0.32,0.55,553.69,6.36e-05,1.15e-07,6.85,9.13e-10,2.0,2.0,154.84,152.1,3.0,5.34,-6.94,8.0,3.91,6.49,3.0,1.0
Z4914836776,C[C@H]1Cn2nccc2CN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-45.721,-40.6164,-13.29402,7.9084329605,-7.41,1.0,0.9783297222623926,-17.8734,-43.0811,-30.1802,0.8272557855,6.5422968864,0.1267857552,2.87,0.0,2.29,-8.4,0.0,0.0203,0.0,2.04e-06,37.0,-4.41,21.0,4.44,3.96e-09,5.0,0.29,0.55,515.99,0.00694,1.35e-05,3.71,3.93e-05,0.0,0.0,89.35,145.09,1.0,3.18,-4.87,6.0,3.2,3.84,2.0,1.0
Z28463398,CC(C)N(Cc1nc2ccccc2c(=O)[nH]1)C(=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-41.2014,-33.4957,-12.37077,7.8571829796,-6.95,1.0,0.9758885432952092,-4.9379,-40.3235,-29.1079,0.9607385993,7.5486989021,0.0610050447,3.23,0.0,3.31,-8.86,0.0,0.00374,0.0,6.6e-07,36.0,-5.11,23.0,3.26,1.37e-09,5.0,0.25,0.55,482.53,0.00745,1.54e-05,5.16,7.75e-06,0.0,0.0,105.13,141.59,2.0,3.73,-4.81,8.0,3.73,3.25,2.0,0.0
Z3396338697,CC(=O)N1C[C@@H](C(=O)NCC[C@H]2CN(c3ncnc4[nH]ncc34)c3ccccc32)Oc2ccccc21,-42.7589,-34.5558,-12.82278,7.57762146,-7.44,2.0,0.9741311362900552,-13.8996,-39.9208,-27.37,0.9267203808,7.022336483,0.1691295207,2.55,0.0,2.17,-7.24,0.0,0.0111,0.0,2.78e-05,36.0,-4.64,21.0,4.35,5.75e-08,6.0,0.27,0.55,483.52,0.0186,3.85e-05,2.19,2.29e-05,0.0,0.0,116.34,140.19,1.0,2.21,-4.41,7.0,2.01,2.15,2.0,0.0
Z8264664373,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1C[C@@H]2COC[C@]2(C(=O)O)C1,-60.0604,-53.25,-13.63502,7.8119974136,-8.12,2.0,0.9730068271034,-41.4194,-55.2596,-48.6026,0.990322113,7.7363939285,0.0416113921,1.19,0.0,2.5,-6.14,0.0,0.309,0.0,0.000315,32.0,-3.15,16.0,3.98,7.21e-07,7.0,0.3,0.56,437.42,0.199,0.000455,3.64,0.000707,0.0,0.0,112.59,115.99,1.0,2.19,-3.34,5.0,1.78,1.87,0.0,0.0
Z8174625162,NCc1ocnc1C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-68.0947,-60.064,-13.34472,8.0042486191,-8.76,2.0,0.9728516687062628,-45.0024,-62.489,-48.0944,0.9925715923,7.9447898865,0.0549635179,0.75,0.0,1.46,-7.35,0.0,0.285,0.0,2.18e-05,36.0,-3.24,21.0,3.7,4.45e-08,8.0,0.24,0.55,490.49,0.233,0.000475,3.23,0.00058,1.0,0.0,138.42,135.35,1.0,1.83,-3.32,7.0,2.49,1.2,2.0,0.0
Z226324916,O=C(C1CCN(c2ccccc2[N+](=O)[O-])CC1)N(Cc1ccccc1)Cc1nc2ccccc2c(=O)[nH]1,-46.2093,-39.7457,-12.16829,8.2272844315,-6.62,1.0,0.972829491435327,-7.6211,-42.9919,-33.4546,0.9779456258,8.0458364487,0.0377834067,3.82,0.0,2.77,-8.06,0.0,0.000581,2.0,4.31e-06,37.0,-5.93,22.0,3.45,8.67e-09,5.0,0.25,0.55,497.55,0.00284,5.71e-06,2.38,1.17e-06,0.0,0.0,115.12,147.13,3.0,2.99,-5.24,8.0,2.39,3.59,2.0,0.0
Z728741700,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,-56.2297,-44.9301,-12.86274,7.4724006653,-8.96,1.0,0.9726938690926815,-38.65,-50.5225,-41.0079,0.9356202483,6.9913291931,0.0641922504,0.27,0.0,2.31,-5.46,0.0,1.09,0.0,0.00161,33.0,-2.63,16.0,3.76,3.45e-06,6.0,0.27,0.55,467.5,0.54,0.00116,1.8,0.00234,1.0,0.0,133.29,133.12,1.0,1.43,-2.94,5.0,2.47,0.31,1.0,0.0
Z4924290998,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)Nc1ccc(NS(=O)(=O)c2c(F)cccc2F)cc1,-56.403,-46.5405,-12.4545,7.8767914772,-7.82,3.0,0.972147739767585,-36.1306,-51.6182,-42.3358,0.9619153738,7.5768070221,0.0947546288,2.16,0.0,2.96,-8.52,0.0,0.00995,0.0,1.52e-06,35.0,-4.7,22.0,3.21,3.03e-09,7.0,0.09,0.55,500.47,0.0287,5.74e-05,3.01,1.99e-05,1.0,0.0,138.51,125.76,2.0,2.92,-4.24,8.0,2.15,4.34,1.0,1.0
Z136722726,NS(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1,-45.8435,-34.6345,-12.29982,7.4788885117,-8.72,2.0,0.9717749745181634,-23.1857,-39.6207,-31.7499,0.8083612323,6.0456433296,0.0462047942,0.77,0.0,0.94,-4.54,0.0,0.26,0.0,0.0139,34.0,-3.27,15.0,3.31,2.86e-05,6.0,0.39,0.55,485.56,0.226,0.000466,0.59,0.000535,1.0,0.0,139.11,134.18,1.0,1.26,-3.33,5.0,2.38,1.61,2.0,0.0
Z5245347491,O=C(Cc1cc2ccccc2c(=O)[nH]1)N1CCOC[C@@H]1c1cn([C@H]2CCCc3ccc(Cl)cc32)nn1,-52.3173,-47.4759,-13.35805,7.9995756149,-7.46,1.0,0.9715720474739414,-20.647,-50.2426,-40.3885,0.903811872,7.230111599,0.0780581683,2.7,0.0,3.04,-7.9,0.0,0.0248,0.0,6.32e-06,36.0,-4.31,21.0,4.61,1.25e-08,5.0,0.33,0.55,503.98,0.00861,1.71e-05,4.32,4.92e-05,0.0,0.0,93.11,140.84,1.0,3.38,-4.77,5.0,3.72,3.14,2.0,1.0
Z54609400,O=c1[nH]c(CSc2nnc(-c3cccc(S(=O)(=O)N4CCCCC4)c3)o2)nc2ccccc12,-49.5858,-38.3649,-12.48566,7.4786863327,-7.3,1.0,0.9713223013672814,-19.1395,-43.5334,-35.3496,0.8739359975,6.5358929634,0.1238518804,2.75,1.0,2.31,-7.74,0.0,0.00102,0.0,8.74e-06,33.0,-5.68,21.0,3.74,1.81e-08,8.0,0.27,0.55,483.56,0.0109,2.26e-05,3.16,2.11e-06,1.0,1.0,155.73,128.88,1.0,3.12,-4.65,6.0,3.41,3.99,1.0,0.0
Z5094147410,CNS(=O)(=O)c1cc(CNC[C@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F,-46.3434,-41.3674,-12.34007,8.3299846649,-6.83,3.0,0.9711153069349865,-22.7131,-42.1918,-29.3222,0.9280053973,7.7302708626,0.0616856031,4.14,0.0,2.41,-11.15,0.0,0.000272,0.0,4e-09,39.0,-6.32,22.0,4.18,7.03e-12,8.0,0.21,0.55,569.05,0.000902,1.59e-06,4.59,4.77e-07,0.0,0.0,117.8,147.38,3.0,4.01,-5.8,9.0,3.38,5.54,2.0,1.0
Z4999892925,O=C1CC[C@@H](N2Cc3c(C#CC4CCN(c5nccc6c(F)cccc56)CC4)cccc3C2=O)C(=O)N1,-39.4084,-34.1254,-12.61151,7.9589300156,-6.81,1.0,0.9707753344265382,-6.4464,-36.2499,-30.917,0.8923552632,7.1021928787,0.1217019781,3.55,0.0,3.88,-7.66,0.0,0.00532,2.0,1.08e-05,37.0,-4.97,16.0,4.1,2.18e-08,5.0,0.31,0.55,496.53,0.00225,4.54e-06,4.27,1.07e-05,0.0,0.0,82.61,147.5,2.0,3.58,-5.34,2.0,3.59,2.61,2.0,0.0
Z5551413089,O=C(NCC1=NS(=O)(=O)c2ccccc2N1)Nc1cccc(S(=O)(=O)/N=C2\CCCCCN2)c1,-57.519,-42.4689,-12.13352,7.3305077553,-8.72,4.0,0.9705819294186953,-33.5766,-46.9,-39.1238,0.9049469233,6.6337203979,0.0745473057,0.92,1.0,2.25,-7.15,0.0,0.0334,1.0,3.6e-05,34.0,-4.18,12.0,4.44,7.13e-08,7.0,0.29,0.17,504.58,0.227,0.00045,1.06,6.61e-05,1.0,1.0,174.95,139.11,1.0,1.83,-3.35,7.0,2.03,2.91,2.0,2.0
Z5213185138,O=C1CC[C@H](N2C(=O)c3cccc(NC(=O)Cn4cc(-c5ccc6cn[nH]c6c5)nn4)c3C2=O)C(=O)N1,-37.0535,-31.2608,-12.77244,7.7352361679,-8.82,3.0,0.970081542171024,-19.1578,-35.5996,-32.4137,0.8931314945,6.9085831642,0.2425982505,0.74,1.0,0.81,-6.47,0.0,0.0583,1.0,0.00017,37.0,-3.93,20.0,3.89,3.42e-07,8.0,0.17,0.55,498.45,0.198,0.000398,0.92,0.000117,1.0,1.0,172.04,134.72,1.0,0.78,-3.4,6.0,1.52,-0.09,2.0,1.0
