Ligand,SMILES,MMGBSA_5,MMGBSA_7,Energy,CNNaffinity,log Kp (cm/s),#H-bond donors,10nM score no_adme,MMPBSA,MMGBSA_2,MMGBSA_8,CNNscore,CNN_VS,CNNaffinity_variance,XLOGP3,Veber #violations,MLOGP,Silicos-IT LogSw,PAINS #alerts,Ali Solubility (mg/ml),Brenk #alerts,Silicos-IT Solubility (mg/ml),#Heavy atoms,Ali Log S,#Aromatic heavy atoms,Synthetic Accessibility,Silicos-IT Solubility (mol/l),#H-bond acceptors,Fraction Csp3,Bioavailability Score,MW,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Silicos-IT Log P,Ali Solubility (mol/l),Egan #violations,Muegge #violations,TPSA,MR,Leadlikeness #violations,Consensus Log P,ESOL Log S,#Rotatable bonds,iLOGP,WLOGP,Ghose #violations,Lipinski #violations
Z147567794,O=C(OCc1cccc(COC(=O)c2n[nH]c(=O)c3ccccc23)c1)c1n[nH]c(=O)c2ccccc12,-47.9557,-39.3247,-12.73783,7.3362717628,-7.1,2.0,0.9248461964214506,-36.0375,-45.7434,-43.522,0.9146101475,6.7098283768,0.4037508368,3.02,1.0,3.33,-9.14,0.0,0.000938,1.0,3.52e-07,36.0,-5.71,26.0,3.22,7.29e-10,8.0,0.08,0.55,482.44,0.00878,1.82e-05,4.82,1.94e-06,1.0,0.0,144.1,129.82,2.0,3.27,-4.74,8.0,2.62,2.57,1.0,0.0
Z4475766849,Cc1cccc2c(=O)[nH]c(COC(=O)[C@H]3C[C@@H]4CCCC[C@@H]4N3C(=O)c3ccc(F)cc3F)nc12,-52.9304,-47.3915,-13.11983,7.7025718689,-6.23,1.0,0.9240164926189588,-23.8742,-50.4231,-39.1288,0.8888877034,6.8467216492,0.0701638907,4.24,0.0,4.14,-7.45,0.0,0.000619,0.0,1.72e-05,35.0,-5.89,16.0,4.32,3.58e-08,7.0,0.38,0.55,481.49,0.00175,3.64e-06,5.09,1.29e-06,0.0,0.0,92.36,129.06,2.0,4.24,-5.44,6.0,3.42,4.33,1.0,0.0
Z4927215230,O=C(NC[C@@H]1[C@H]2CCC[C@@H]1N(c1nc3ccccc3c(=O)[nH]1)C2)[C@@H]1CC(c2cccnc2)=NO1,-43.3384,-36.308,-11.92516,7.8290681839,-7.84,2.0,0.9212361636579492,-17.3269,-39.5829,-29.4952,0.9573770761,7.495370388,0.0279557314,1.77,0.0,2.03,-6.61,0.0,0.0812,0.0,0.000113,34.0,-3.75,16.0,5.67,2.46e-07,6.0,0.4,0.55,458.51,0.0815,0.000178,3.12,0.000177,0.0,0.0,112.57,134.61,1.0,2.17,-3.75,6.0,2.45,1.47,1.0,0.0
Z68777675,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1ccc(Cl)c(S(=O)(=O)NCc2cccnc2)c1,-51.2908,-42.2874,-11.42266,8.0234775543,-7.99,2.0,0.9211306520377771,-21.0045,-46.5783,-36.6946,0.9762479067,7.8329033852,0.0192680042,1.9,0.0,1.68,-8.8,0.0,0.0235,0.0,7.97e-07,34.0,-4.33,22.0,3.23,1.6e-09,7.0,0.13,0.55,497.95,0.0419,8.41e-05,3.08,4.72e-05,1.0,0.0,133.5,127.94,2.0,2.44,-4.08,8.0,2.05,3.5,1.0,0.0
Z8174637452,C[C@H](O)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-46.193,-38.567,-13.11025,7.2211151123,-8.13,2.0,0.9207868792212808,-19.3431,-43.2657,-32.7122,0.911701262,6.5834999084,0.0377780981,1.19,0.0,2.09,-5.86,0.0,0.414,0.0,0.000601,32.0,-3.02,16.0,3.65,1.37e-06,6.0,0.3,0.55,438.45,0.229,0.000522,3.32,0.000945,0.0,0.0,106.6,123.68,1.0,2.02,-3.28,6.0,2.54,0.98,0.0,0.0
Z2902676675,O=S(=O)(NCc1nc(-c2cccc(Cn3cnc4ccccc43)c2)no1)c1c[nH]c2ncccc12,-43.784,-37.3676,-12.20607,7.7790384293,-7.27,2.0,0.9201030360185275,-18.2179,-38.8199,-28.7606,0.9233675599,7.1829118729,0.0502531007,2.8,0.0,1.18,-9.24,0.0,0.00195,0.0,2.77e-07,35.0,-5.4,29.0,3.7,5.7e-10,8.0,0.08,0.55,485.52,0.00833,1.72e-05,2.52,4.02e-06,1.0,0.0,139.97,128.81,1.0,2.66,-4.77,7.0,2.36,4.42,1.0,0.0
Z8174691565,CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-55.8543,-49.3413,-13.24737,7.5630531311,-7.76,1.0,0.9199472907212397,-37.2074,-52.2925,-44.5214,0.9814549088,7.4227957726,0.0437840633,1.45,0.0,2.67,-6.42,0.0,0.551,0.0,0.000156,30.0,-2.87,16.0,3.05,3.82e-07,5.0,0.27,0.55,408.43,0.182,0.000446,3.71,0.00135,0.0,0.0,86.37,117.71,1.0,2.39,-3.35,5.0,2.49,1.62,0.0,0.0
Z26519277,O=C(Cn1[nH]c(=O)c2ccccc2c1=O)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,-49.1698,-39.6879,-12.48999,7.3511185646,-7.75,2.0,0.9192965359189903,-25.0753,-42.7653,-40.3379,0.9356244802,6.8778862953,0.0393917039,1.88,0.0,2.34,-6.04,0.0,0.0271,0.0,0.000419,32.0,-4.23,16.0,3.47,9.18e-07,6.0,0.32,0.55,456.51,0.0677,0.000148,1.75,5.94e-05,0.0,0.0,129.72,125.75,1.0,2.07,-3.83,6.0,1.96,2.4,0.0,0.0
Z3396343676,CCOc1nc2cc(C(=O)NCC[C@@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)ccc2[nH]1,-30.5989,-26.4545,-12.1777,7.7465310097,-6.62,3.0,0.918533438128261,-9.2233,-29.4738,-19.7389,0.8371295333,6.4848499298,0.1709314883,3.57,0.0,2.57,-8.57,0.0,0.000625,0.0,1.26e-06,35.0,-5.87,24.0,3.86,2.7e-09,6.0,0.24,0.55,468.51,0.00498,1.06e-05,3.38,1.33e-06,0.0,0.0,124.71,135.0,3.0,3.03,-4.97,8.0,2.32,3.3,1.0,0.0
Z8264646985,O=C(NS(=O)(=O)N1CCCCC1)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,-53.1043,-46.8034,-12.71112,7.7818388939,-7.36,2.0,0.9181004905382992,-28.8371,-48.1,-43.5746,0.9705119729,7.5523676872,0.1595342606,2.32,0.0,3.22,-6.97,0.0,0.0143,0.0,4.8e-05,31.0,-4.49,16.0,3.32,1.08e-07,7.0,0.29,0.55,444.48,0.0402,9.05e-05,2.84,3.22e-05,0.0,0.0,120.61,117.66,1.0,2.8,-4.04,6.0,2.37,3.23,0.0,0.0
Z239887412,C[C@@]1(c2cc3ccccc3o2)C(=O)N(Cc2cc3c(cc2Br)OCCO3)C(=O)N1Cc1cc2c(cc1Br)OCCO2,-48.1458,-41.9867,-12.10522,7.969086647,-6.6,0.0,0.9168026223123654,-16.3551,-46.2367,-36.6466,0.8274692297,6.5941739082,0.1506094486,5.45,0.0,3.34,-10.13,0.0,5.3e-05,1.0,5.03e-08,41.0,-7.11,21.0,4.52,7.35e-11,7.0,0.27,0.55,684.33,1.86e-05,2.72e-08,5.92,7.75e-08,0.0,2.0,90.68,163.51,2.0,5.0,-7.57,5.0,5.07,5.21,2.0,1.0
Z98301791,O=C(OCC(=O)N1N=C(c2cc3ccccc3o2)C[C@H]1c1ccco1)c1cc(=O)c2ccccc2[nH]1,-37.712,-30.8009,-12.69837,7.2806258202,-6.43,1.0,0.9162748393096654,-12.4012,-36.2327,-25.9428,0.8985604048,6.5420823097,0.0597751811,3.96,0.0,1.25,-8.6,0.0,0.000348,0.0,1.21e-06,36.0,-6.14,24.0,4.38,2.52e-09,7.0,0.11,0.55,481.46,0.00214,4.45e-06,4.76,7.23e-07,0.0,0.0,118.11,138.0,2.0,3.45,-5.35,7.0,3.94,3.32,2.0,0.0
Z8416285730,Cc1ccn2ncc(C(=O)N[C@@H]3CCN(C(=O)c4cc(C)c5[nH]nnc5c4)[C@@H](C)C3)c2c1,-36.9242,-32.6813,-13.23032,7.3576874733,-7.24,2.0,0.9155900629245941,-17.6677,-36.1356,-25.8428,0.8565250635,6.3020439148,0.2460130006,2.39,0.0,2.79,-6.01,0.0,0.0214,0.0,0.00042,32.0,-4.31,18.0,3.81,9.73e-07,5.0,0.35,0.55,431.49,0.0337,7.81e-05,2.11,4.95e-05,0.0,0.0,108.28,124.01,1.0,2.46,-4.11,5.0,2.74,2.26,0.0,0.0
Z4924290696,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)Nc1ccc(NS(=O)(=O)c2cc(F)ccc2Cl)cc1,-63.4952,-55.0261,-12.56377,7.8244538307,-7.54,3.0,0.9155194437510916,-42.1681,-58.9634,-54.5305,0.9454277754,7.3974561691,0.0733136684,2.69,0.0,3.07,-8.84,0.0,0.0029,0.0,7.54e-07,35.0,-5.25,22.0,3.19,1.46e-09,6.0,0.09,0.55,516.93,0.0109,2.1e-05,3.23,5.61e-06,1.0,0.0,138.51,130.81,2.0,3.1,-4.68,8.0,2.08,4.43,2.0,1.0
Z4921677497,Cc1[nH]nc2ncc(C(=O)N3CC(NC(=O)[C@@H]4CCc5nccn5C4)(c4ccccc4)C3)cc12,-32.4491,-24.8447,-11.97783,7.4014482498,-8.21,2.0,0.914883791360366,-10.0007,-31.173,-19.6181,0.8842201233,6.5445094109,0.0725055635,1.23,0.0,1.56,-6.83,0.0,0.352,0.0,6.82e-05,34.0,-3.11,20.0,3.76,1.5e-07,5.0,0.32,0.55,455.51,0.151,0.000332,2.5,0.000772,0.0,0.0,108.8,129.38,1.0,1.81,-3.48,6.0,2.05,1.7,0.0,0.0
Z8416285745,Cc1ccc2[nH]nc(C(=O)N[C@H]3C[C@H](C)N(C(=O)c4n[nH]c(=O)c5ccccc45)C3)c2c1,-42.5935,-34.0128,-12.61731,7.2121558189,-7.14,3.0,0.9140752602575748,-24.0247,-39.499,-30.8481,0.9050613046,6.5274429321,0.2026884109,2.52,0.0,2.15,-6.87,0.0,0.00736,0.0,5.82e-05,32.0,-4.77,19.0,3.62,1.35e-07,5.0,0.26,0.55,430.46,0.0268,6.23e-05,3.07,1.71e-05,0.0,0.0,123.84,123.62,1.0,2.4,-4.21,5.0,2.5,1.76,0.0,0.0
