Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,Z30084011_0,Z11,-33.2836,-47.5088,-49.7525,-46.3133,-37.5143
7KK4,Z56877005_0,Z05,-25.2252,-36.1564,-39.1063,-36.0072,-29.5542
7KK4,Z573240576_0,Z76,-30.8362,-46.2631,-49.6680,-47.7632,-41.7550
7KK4,Z1005268328_0,Z28,-18.4682,-42.6954,-48.3694,-40.2570,-36.4873
7KK4,Z15781528_0,Z28,-25.0050,-43.5361,-48.3822,-39.5927,-37.4458
7KK4,Z29016340_0,Z40,-23.4465,-48.9438,-55.5417,-44.4981,-40.0246
7KK4,Z30081997_0,Z97,-13.4830,-41.7452,-42.8739,-35.5280,-37.8431
7KK4,Z30084601_0,Z01,-8.4791,-37.5547,-38.1923,-31.0989,-27.0361
7KK4,Z30413564_0,Z64,-21.8569,-44.9735,-47.0594,-44.0124,-36.5989
7KK4,Z279554194_0,Z94,-9.3103,-40.7806,-42.0234,-40.6764,-34.0510
7KK4,Z32417059_0,Z59,-16.3447,-42.5474,-50.2045,-43.3699,-39.4169
7KK4,Z52733355_0,Z55,-8.0150,-29.3276,-33.8784,-25.0511,-23.6965
7KK4,Z55882091_0,Z91,-42.6769,-56.4983,-59.9481,-55.2204,-43.9024
7KK4,Z5129912964_0,Z64,-23.5621,-56.0200,-58.6233,-55.0570,-44.0751
7KK4,Z5129919098_0,Z98,-15.5297,-50.2534,-52.2594,-47.7542,-37.2025
7KK4,Z5129920794_0,Z94,-30.0723,-54.8257,-57.7320,-52.8782,-41.1735
7KK4,Z5584403963_0,Z63,-35.5933,-50.8154,-55.1648,-49.4663,-42.0715
7KK4,Z5637084480_0,Z80,-12.5066,-40.2486,-41.7120,-39.7560,-23.7508
7KK4,Z17660193_0,Z93,-19.2567,-42.9018,-47.9985,-37.2175,-31.3898
7KK4,Z2227698469_0,Z69,-28.3533,-47.7173,-50.7382,-44.0503,-39.4518
7KK4,Z8427005573_0,Z73,-38.4822,-44.7428,-46.6209,-44.0177,-40.2091
7KK4,Z8427007300_0,Z00,-36.4722,-43.8564,-46.5724,-42.1896,-40.4411
7KK4,Z8427059736_0,Z36,-24.3035,-42.1371,-43.4103,-43.5359,-36.1478
7KK4,Z8427097024_0,Z24,-0.2353,-36.2117,-37.9094,-30.9113,-26.0708
7KK4,Z8427097377_0,Z77,-19.3139,-36.2918,-39.4815,-30.7601,-28.5232
7KK4,Z8427097390_0,Z90,-21.9427,-39.0116,-42.6646,-37.3217,-31.2147
7KK4,Z8504820816_0,Z16,-12.1463,-42.1180,-44.9531,-39.2414,-26.8942
7KK4,Z8515969574_0,Z74,-23.4512,-43.4986,-47.0528,-44.7495,-36.4865
7KK4,Z8515969603_0,Z03,-49.4457,-62.6183,-68.9712,-63.1089,-53.5818
7KK4,Z8515969667_0,Z67,-30.0343,-42.9443,-45.9036,-39.9758,-36.7416
7KK4,Z8515969725_0,Z25,-21.7835,-46.7434,-49.6557,-45.2163,-36.5894
7KK4,Z8515969762_0,Z62,-37.5090,-51.1572,-54.3042,-51.8156,-46.4124
7KK4,Z2003842673_0,Z73,-9.7330,-37.9203,-38.0317,-34.0742,-28.5773
7KK4,Z3396343676_0,Z76,-9.2233,-29.4738,-30.5989,-26.4545,-19.7389
7KK4,Z3396344333_0,Z33,-20.0381,-33.0583,-35.7218,-30.6053,-24.6283
7KK4,Z3396344473_0,Z73,-14.7202,-37.4564,-40.7472,-36.4976,-29.6465
7KK4,Z3396344540_0,Z40,-18.0611,-43.9438,-46.7920,-41.1948,-35.5853
7KK4,Z3396345178_0,Z78,-17.7964,-36.6819,-39.6595,-31.9684,-25.9883
7KK4,Z3396345764_0,Z64,-16.6154,-46.0167,-50.1611,-41.6759,-34.0204
7KK4,Z3396345789_0,Z89,-15.6022,-41.1589,-44.6018,-37.8481,-32.8540
7KK4,Z3396345997_0,Z97,-14.7779,-34.8870,-36.4038,-30.0342,-24.9659
7KK4,Z4271561400_0,Z00,-18.6530,-40.2461,-44.0662,-38.0131,-29.2847
7KK4,Z4670406933_0,Z33,-26.2285,-46.3502,-50.7987,-43.1862,-36.6650
7KK4,Z4670406934_0,Z34,-36.3084,-51.7261,-56.8270,-47.5976,-47.8681
7KK4,Z4670406935_0,Z35,-43.9968,-56.7539,-62.7733,-54.7800,-54.2167
7KK4,Z4878380185_0,Z85,-22.0439,-43.0370,-47.3224,-36.4856,-30.1149
7KK4,Z4878697898_0,Z98,-29.3159,-49.9078,-52.2512,-45.5072,-38.3023
7KK4,Z4898006909_0,Z09,-19.5828,-38.6349,-39.2347,-31.8433,-32.2495
7KK4,Z4898059571_0,Z71,-35.3112,-54.0432,-59.1480,-55.0194,-49.2453
7KK4,Z4914836776_0,Z76,-17.8734,-43.0811,-45.7210,-40.6164,-30.1802
7KK4,Z4914836777_0,Z77,-25.0785,-48.0558,-51.5016,-43.0611,-35.7951
7KK4,Z4914836784_0,Z84,-13.5895,-42.5379,-45.5194,-40.2310,-33.4352
7KK4,Z4916836419_0,Z19,-45.1205,-60.4198,-65.9050,-57.8594,-50.3875
7KK4,Z4916836427_0,Z27,-25.6911,-46.4385,-52.6244,-40.8187,-37.7178
7KK4,Z4916836432_0,Z32,-32.5494,-52.5433,-57.8938,-51.3843,-45.8523
7KK4,Z4921676724_0,Z24,-22.6271,-39.7681,-41.7621,-37.9602,-37.1195
7KK4,Z4921676859_0,Z59,-17.7771,-39.8470,-41.8077,-33.1511,-32.4829
7KK4,Z4921676909_0,Z09,-26.5295,-42.7339,-45.7577,-41.2077,-37.1452
7KK4,Z4921677050_0,Z50,-24.5824,-38.1691,-41.3857,-34.4526,-31.6174
7KK4,Z4921677116_0,Z16,-43.5870,-53.8852,-58.3667,-48.9451,-41.8866
7KK4,Z4921677164_0,Z64,-38.7014,-51.8326,-56.8525,-43.5841,-41.8986
7KK4,Z4921677181_0,Z81,-15.9184,-38.9015,-42.4961,-34.7736,-28.4792
7KK4,Z4921677497_0,Z97,-10.0007,-31.1730,-32.4491,-24.8447,-19.6181
7KK4,Z4921677687_0,Z87,-8.1880,-34.8231,-37.6049,-33.9186,-31.5563
7KK4,Z4921677900_0,Z00,-36.3194,-53.1028,-57.1479,-50.5728,-47.8168
7KK4,Z4921678246_0,Z46,-19.2802,-42.7293,-45.2413,-39.1250,-32.4482
7KK4,Z4921678257_0,Z57,-17.9170,-38.5932,-39.4920,-36.5297,-31.2986
7KK4,Z4921678420_0,Z20,-20.5995,-41.2180,-44.0343,-32.2979,-29.8244
7KK4,Z4921678447_0,Z47,-29.7899,-43.1135,-44.9552,-42.7669,-37.5263
7KK4,Z5889958807_0,Z07,-23.6968,-46.4146,-48.2559,-43.2062,-39.5829
7KK4,Z6279896997_0,Z97,-17.2429,-41.4847,-42.3592,-37.8639,-31.7433
7KK4,Z6279898031_0,Z31,-18.7691,-33.9230,-34.2392,-28.3254,-28.7844
