Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,CHEMBL3931956_0,C56,-40.2487,-51.1731,-53.8170,-49.0284,-46.4984
7KK4,CHEMBL3926309_0,C09,-38.9073,-53.3810,-55.4857,-49.8299,-47.9276
7KK4,CHEMBL3919399_0,C99,-38.2638,-48.9785,-51.8923,-46.8910,-45.8058
7KK4,CHEMBL3932782_0,C82,-33.9773,-51.6610,-55.0779,-50.2372,-45.2697
7KK4,CHEMBL3895743_0,C43,-41.8216,-51.7393,-54.4523,-49.7042,-48.0984
7KK4,CHEMBL3978197_0,C97,-39.2388,-58.6652,-63.3709,-57.3481,-47.5378
7KK4,CHEMBL3933012_0,C12,-45.3239,-58.5010,-61.5716,-56.6865,-51.1612
7KK4,CHEMBL3972338_0,C38,-38.4109,-55.1631,-58.5427,-55.1354,-48.7781
7KK4,CHEMBL3975392_0,C92,-38.3501,-51.0095,-53.3928,-46.5032,-44.9666
7KK4,CHEMBL3971128_0,C28,-42.6159,-55.0530,-57.9037,-55.6872,-49.3545
7KK4,CHEMBL3961392_0,C92,-37.0875,-51.3854,-53.7419,-50.5761,-45.0639
7KK4,CHEMBL3972922_0,C22,-45.9484,-59.5712,-63.0456,-56.3739,-51.5611
7KK4,CHEMBL3956498_0,C98,-39.7393,-54.2314,-57.1285,-53.5521,-49.0595
7KK4,CHEMBL3956979_0,C79,-34.6343,-43.1281,-46.2015,-40.0489,-38.6404
7KK4,CHEMBL2058922_0,C22,-29.6724,-45.8776,-50.5631,-43.0202,-40.0203
7KK4,CHEMBL3961821_0,C21,-40.5536,-51.9147,-56.3695,-50.7097,-44.1294
7KK4,CHEMBL3958908_0,C08,-36.3082,-52.4845,-54.2867,-52.1273,-46.5128
7KK4,CHEMBL3912084_0,C84,-38.4227,-54.3879,-57.0172,-54.0020,-51.7027
7KK4,CHEMBL3896875_0,C75,-35.9140,-43.0143,-45.2988,-42.4273,-40.3375
7KK4,CHEMBL3975402_0,C02,-30.8210,-47.8436,-50.6695,-44.9374,-37.8030
7KK4,CHEMBL3942650_0,C50,-36.0534,-45.3272,-47.8140,-42.8036,-39.6684
7KK4,CHEMBL3979197_0,C97,-40.3196,-51.1622,-53.8531,-50.9175,-45.6753
7KK4,CHEMBL3943233_0,C33,-45.1487,-54.8204,-57.9795,-52.7665,-48.7916
7KK4,CHEMBL3944092_0,C92,-43.5293,-53.5820,-57.5087,-50.9403,-46.7624
7KK4,CHEMBL3952324_0,C24,-47.9755,-55.2213,-58.6013,-53.8361,-50.9149
7KK4,CHEMBL3914571_0,C71,-40.2633,-53.4099,-56.7663,-50.9439,-46.1469
7KK4,CHEMBL3977581_0,C81,-41.0785,-50.9973,-54.8584,-49.5933,-42.8215
7KK4,CHEMBL3957216_0,C16,-37.9689,-51.8621,-55.2771,-48.8273,-44.9241
7KK4,CHEMBL2058912_0,C12,-32.1776,-46.7662,-50.8063,-46.1732,-39.4750
